# i_sweep, z, m_z
   16,     6, .5000
   16,     7, .9000
   16,     8, .9000
   16,     9, .8000
   16,    10, .7000
   16,    11, .7000
   16,    12, .9000
   16,    13, .8000
   16,    14, .8000
   16,    15, .9000
   16,    16, .9000
   16,    17, .7000
   16,    18, .7000
   16,    19, -.2000
   16,    20, -.6000

   17,     1, .7000
   17,     2, .8000
   17,     3, .6000
   17,     4, .3000
   17,     5, .7000
   17,     6, .7000
   17,     7, .9000
   17,     8, .5000
   17,     9, .7000
   17,    10, .8000
   17,    11, .7000
   17,    12, .7000
   17,    13, .8000
   17,    14, .8000
   17,    15, .9000
   17,    16, .8000
   17,    17, .7000
   17,    18, .7000
   17,    19, .2000
   17,    20, -.6000

   18,     1, .8000
   18,     2, .8000
   18,     3, .9000
   18,     4, .6000
   18,     5, .6000
   18,     6, .5000
   18,     7, .6000
   18,     8, .5000
   18,     9, 1.0000
   18,    10, .9000
   18,    11, 1.0000
   18,    12, .7000
   18,    13, .8000
   18,    14, .8000
   18,    15, .5000
   18,    16, .8000
   18,    17, .4000
   18,    18, .5000
   18,    19, .2000
   18,    20, -.9000

   19,     1, .8000
   19,     2, .6000
   19,     3, .6000
   19,     4, .7000
   19,     5, .5000
   19,     6, .8000
   19,     7, .9000
   19,     8, .7000
   19,     9, .9000
   19,    10, 1.0000
   19,    11, 1.0000
   19,    12, 1.0000
   19,    13, .8000
   19,    14, .8000
   19,    15, .8000
   19,    16, 1.0000
   19,    17, .5000
   19,    18, .4000
   19,    19, -.1000
   19,    20, -.8000

   20,     1, .8000
   20,     2, .9000
   20,     3, .5000
   20,     4, .8000
   20,     5, .7000
   20,     6, .6000
   20,     7, .9000
   20,     8, .7000
   20,     9, .8000
   20,    10, .9000
   20,    11, .9000
   20,    12, 1.0000
   20,    13, .7000
   20,    14, .9000
   20,    15, .9000
   20,    16, .7000
   20,    17, .7000
   20,    18, .2000
   20,    19, -.3000
   20,    20, -.9000

   21,     1, .9000
   21,     2, .4000
   21,     3, .1000
   21,     4, .4000
   21,     5, .4000
   21,     6, .7000
   21,     7, .8000
   21,     8, .8000
   21,     9, .7000
   21,    10, .8000
   21,    11, .7000
   21,    12, .7000
   21,    13, 1.0000
   21,    14, .9000
   21,    15, .8000
   21,    16, .8000
   21,    17, .8000
   21,    18, .3000
   21,    19, -.7000
   21,    20, -.9000

   22,     1, .8000
   22,     2, .1000
   22,     3, .1000
   22,     4, .2000
   22,     5, .3000
   22,     6, .7000
   22,     7, .8000
   22,     8, .9000
   22,     9, .8000
   22,    10, 1.0000
   22,    11, .6000
   22,    12, .6000
   22,    13, .9000
   22,    14, 1.0000
   22,    15, .9000
   22,    16, .8000
   22,    17, .7000
   22,    18, .3000
   22,    19, -.4000
   22,    20, -.8000

   23,     1, 1.0000
   23,     2, .5000
   23,     3, .4000
   23,     4, .6000
   23,     5, .4000
   23,     6, .9000
   23,     7, .9000
   23,     8, .8000
   23,     9, .8000
   23,    10, .9000
   23,    11, .8000
   23,    12, .9000
   23,    13, .7000
   23,    14, 1.0000
   23,    15, 1.0000
   23,    16, .8000
   23,    17, .5000
   23,    18, .0000
   23,    19, -.6000
   23,    20, -1.0000

   24,     1, 1.0000
   24,     2, .7000
   24,     3, .7000
   24,     4, .9000
   24,     5, .8000
   24,     6, .8000
   24,     7, .8000
   24,     8, .6000
   24,     9, .8000
   24,    10, .9000
   24,    11, .5000
   24,    12, .7000
   24,    13, 1.0000
   24,    14, 1.0000
   24,    15, 1.0000
   24,    16, .8000
   24,    17, .5000
   24,    18, -.1000
   24,    19, -.7000
   24,    20, -.6000

   25,     1, 1.0000
   25,     2, .7000
   25,     3, .7000
   25,     4, .6000
