# i_sweep, z, m_z
    1,     1, 1.0000
    1,     2, 1.0000
    1,     3, 1.0000
    1,     4, 1.0000
    1,     5, 1.0000
    1,     6, 1.0000
    1,     7, .9000
    1,     8, 1.0000
    1,     9, 1.0000
    1,    10, 1.0000
    1,    11, 1.0000
    1,    12, 1.0000
    1,    13, 1.0000
    1,    14, 1.0000
    1,    15, .9000
    1,    16, 1.0000
    1,    17, .9000
    1,    18, .9000
    1,    19, .9000
    1,    20, .5000

    2,     1, 1.0000
    2,     2, .8000
    2,     3, 1.0000
    2,     4, 1.0000
    2,     5, .8000
    2,     6, .9000
    2,     7, .8000
    2,     8, .8000
    2,     9, .9000
    2,    10, .7000
    2,    11, .9000
    2,    12, .9000
    2,    13, 1.0000
    2,    14, 1.0000
    2,    15, 1.0000
    2,    16, .9000
    2,    17, .9000
    2,    18, 1.0000
    2,    19, .8000
    2,    20, .3000

    3,     1, 1.0000
    3,     2, .9000
    3,     3, 1.0000
    3,     4, 1.0000
    3,     5, .9000
    3,     6, .7000
    3,     7, .6000
    3,     8, .9000
    3,     9, .7000
    3,    10, .7000
    3,    11, .9000
    3,    12, 1.0000
    3,    13, .9000
    3,    14, 1.0000
    3,    15, .8000
    3,    16, .8000
    3,    17, 1.0000
    3,    18, 1.0000
    3,    19, .7000
    3,    20, .1000

    4,     1, 1.0000
    4,     2, 1.0000
    4,     3, .9000
    4,     4, .8000
    4,     5, .7000
    4,     6, .6000
    4,     7, .6000
    4,     8, .8000
    4,     9, .4000
    4,    10, .8000
    4,    11, .9000
    4,    12, .9000
    4,    13, .7000
    4,    14, .7000
    4,    15, .7000
    4,    16, .8000
    4,    17, .9000
    4,    18, .9000
    4,    19, .6000
    4,    20, -.3000

    5,     1, 1.0000
    5,     2, .8000
    5,     3, .7000
    5,     4, .7000
    5,     5, .9000
    5,     6, .7000
    5,     7, .8000
    5,     8, .9000
    5,     9, .8000
    5,    10, .8000
    5,    11, .7000
    5,    12, .8000
    5,    13, .9000
    5,    14, .7000
    5,    15, .7000
    5,    16, .8000
    5,    17, .9000
    5,    18, 1.0000
    5,    19, .3000
    5,    20, -.7000

    6,     1, 1.0000
    6,     2, .6000
