# i_sweep, z, m_z
    1,     1, 1.0000
    1,     2, .9000
    1,     3, 1.0000
    1,     4, 1.0000
    1,     5, 1.0000
    1,     6, 1.0000
    1,     7, .6000
    1,     8, .9000
    1,     9, .8000
    1,    10, .9000
    1,    11, 1.0000
    1,    12, 1.0000
    1,    13, 1.0000
    1,    14, .9000
    1,    15, 1.0000
    1,    16, 1.0000
    1,    17, .8000
    1,    18, .9000
    1,    19, 1.0000
    1,    20, .4000

    2,     1, 1.0000
    2,     2, .9000
    2,     3, 1.0000
    2,     4, 1.0000
    2,     5, 1.0000
    2,     6, .6000
    2,     7, .8000
    2,     8, 1.0000
    2,     9, .9000
    2,    10, .9000
    2,    11, 1.0000
    2,    12, .9000
    2,    13, .9000
    2,    14, 1.0000
    2,    15, .5000
    2,    16, .6000
    2,    17, .5000
    2,    18, .9000
    2,    19, .8000
    2,    20, .0000

    3,     1, .9000
    3,     2, .7000
    3,     3, .9000
    3,     4, .9000
    3,     5, .9000
    3,     6, .5000
    3,     7, .7000
    3,     8, 1.0000
    3,     9, .8000
    3,    10, .8000
    3,    11, .8000
    3,    12, 1.0000
    3,    13, 1.0000
    3,    14, .9000
    3,    15, .7000
    3,    16, .5000
    3,    17, .4000
    3,    18, .6000
    3,    19, .7000
    3,    20, .2000

    4,     1, 1.0000
    4,     2, 1.0000
    4,     3, .8000
    4,     4, .9000
    4,     5, .4000
    4,     6, .7000
    4,     7, .9000
    4,     8, 1.0000
    4,     9, .8000
    4,    10, .6000
    4,    11, .9000
    4,    12, .9000
    4,    13, .8000
    4,    14, 1.0000
    4,    15, .7000
    4,    16, .8000
    4,    17, .6000
    4,    18, .7000
    4,    19, .3000
    4,    20, .3000

    5,     1, 1.0000
    5,     2, .8000
    5,     3, 1.0000
    5,     4, .7000
    5,     5, .5000
    5,     6, .7000
    5,     7, 1.0000
    5,     8, .9000
    5,     9, .7000
    5,    10, .7000
    5,    11, .8000
    5,    12, .8000
    5,    13, .8000
    5,    14, .9000
    5,    15, .9000
    5,    16, .9000
    5,    17, .8000
    5,    18, .3000
    5,    19, .8000
    5,    20, .3000

    6,     1, 1.0000
    6,     2, .9000
    6,     3, .8000
    6,     4, .5000
    6,     5, .3000
    6,     6, .8000
    6,     7, .7000
    6,     8, .9000
    6,     9, .5000
    6,    10, .6000
    6,    11, .9000
    6,    12, .6000
    6,    13, .6000
    6,    14, .9000
    6,    15, .9000
    6,    16, .9000
    6,    17, .4000
    6,    18, .6000
    6,    19, .7000
    6,    20, .2000

    7,     1, 1.0000
    7,     2, .9000
    7,     3, .8000
    7,     4, .9000
    7,     5, .5000
    7,     6, .7000
    7,     7, .5000
    7,     8, .7000
    7,     9, .5000
    7,    10, .9000
    7,    11, .8000
    7,    12, .8000
    7,    13, .6000
    7,    14, .5000
    7,    15, .8000
    7,    16, .9000
    7,    17, .5000
    7,    18, .6000
    7,    19, .4000
    7,    20, .0000

    8,     1, .8000
    8,     2, 1.0000
    8,     3, .8000
    8,     4, .8000
    8,     5, .7000
    8,     6, .5000
    8,     7, .7000
    8,     8, .6000
    8,     9, .6000
    8,    10, .9000
    8,    11, .6000
    8,    12, .5000
    8,    13, .6000
    8,    14, .7000
    8,    15, 1.0000
    8,    16, .9000
    8,    17, .5000
    8,    18, .7000
    8,    19, .4000
    8,    20, -.2000

    9,     1, .9000
    9,     2, 1.0000
    9,     3, .8000
    9,     4, .8000
    9,     5, .7000
    9,     6, .6000
    9,     7, .4000
    9,     8, .5000
    9,     9, .6000
    9,    10, .8000
    9,    11, .6000
    9,    12, .4000
    9,    13, .7000
    9,    14, .8000
    9,    15, 1.0000
    9,    16, 1.0000
    9,    17, .8000
    9,    18, .7000
    9,    19, .5000
    9,    20, .3000

   10,     1, 1.0000
   10,     2, 1.0000
   10,     3, .7000
   10,     4, 1.0000
   10,     5, .8000
   10,     6, .5000
   10,     7, .3000
   10,     8, .6000
   10,     9, .6000
   10,    10, .5000
   10,    11, .6000
   10,    12, .3000
   10,    13, .5000
   10,    14, .7000
   10,    15, 1.0000
   10,    16, .9000
   10,    17, .8000
   10,    18, 1.0000
   10,    19, .4000
   10,    20, .1000

   11,     1, 1.0000
   11,     2, 1.0000
   11,     3, 1.0000
   11,     4, 1.0000
   11,     5, 1.0000
   11,     6, .6000
   11,     7, .5000
   11,     8, .6000
   11,     9, .8000
   11,    10, .7000
   11,    11, .7000
   11,    12, .3000
   11,    13, .5000
   11,    14, .9000
   11,    15, .8000
   11,    16, .9000
   11,    17, .9000
   11,    18, 1.0000
   11,    19, .9000
   11,    20, -.4000

   12,     1, 1.0000
   12,     2, .9000
   12,     3, 1.0000
   12,     4, .9000
   12,     5, .9000
   12,     6, .5000
   12,     7, .6000
   12,     8, .6000
   12,     9, .7000
   12,    10, .9000
   12,    11, .6000
   12,    12, .2000
   12,    13, .7000
   12,    14, .9000
   12,    15, .5000
   12,    16, .6000
   12,    17, .5000
   12,    18, .5000
   12,    19, .5000
   12,    20, -.3000

   13,     1, 1.0000
   13,     2, 1.0000
   13,     3, .5000
   13,     4, .7000
   13,     5, .7000
   13,     6, .6000
   13,     7, .8000
   13,     8, .7000
   13,     9, 1.0000
   13,    10, .9000
   13,    11, .4000
   13,    12, .2000
   13,    13, .7000
   13,    14, 1.0000
   13,    15, .8000
   13,    16, .8000
   13,    17, .6000
   13,    18, .5000
   13,    19, .4000
   13,    20, -.5000

   14,     1, .9000
   14,     2, .7000
   14,     3, .6000
   14,     4, 1.0000
   14,     5, .9000
   14,     6, .9000
   14,     7, .8000
   14,     8, .7000
   14,     9, .8000
   14,    10, .6000
   14,    11, .7000
   14,    12, .7000
   14,    13, .9000
   14,    14, .9000
   14,    15, .8000
   14,    16, .7000
   14,    17, .7000
   14,    18, .7000
   14,    19, .3000
   14,    20, -.6000

   15,     1, .7000
   15,     2, .6000
   15,     3, .7000
   15,     4, .7000
   15,     5, .8000
   15,     6, .8000
   15,     7, 1.0000
   15,     8, .7000
   15,     9, .9000
   15,    10, .8000
   15,    11, .7000
   15,    12, .6000
   15,    13, 1.0000
   15,    14, 1.0000
   15,    15, .5000
   15,    16, .6000
   15,    17, .5000
   15,    18, .5000
   15,    19, .1000
   15,    20, -.5000

   16,     1, .5000
   16,     2, .6000
   16,     3, .9000
   16,     4, .7000
   16,     5, .9000
   16,     6, .9000
   16,     7, .9000
   16,     8, .9000
   16,     9, 1.0000
   16,    10, .6000
   16,    11, .4000
   16,    12, .4000
   16,    13, 1.0000
   16,    14, 1.0000
   16,    15, .6000
   16,    16, .8000
   16,    17, .7000
   16,    18, .6000
   16,    19, .3000
   16,    20, -.5000

   17,     1, .3000
   17,     2, .6000
   17,     3, .9000
   17,     4, .7000
   17,     5, .7000
   17,     6, .8000
   17,     7, .7000
   17,     8, .8000
   17,     9, 1.0000
   17,    10, .5000
   17,    11, .5000
   17,    12, -.2000
   17,    13, .9000
   17,    14, .8000
   17,    15, .6000
   17,    16, .6000
   17,    17, .2000
   17,    18, .5000
   17,    19, -.1000
   17,    20, -.5000

   18,     1, .6000
   18,     2, .7000
   18,     3, .9000
   18,     4, .9000
   18,     5, .8000
   18,     6, .3000
   18,     7, .7000
   18,     8, .9000
   18,     9, 1.0000
   18,    10, .8000
   18,    11, .4000
   18,    12, -.1000
   18,    13, .2000
   18,    14, .5000
   18,    15, .6000
   18,    16, .5000
   18,    17, -.3000
   18,    18, .1000
   18,    19, .0000
   18,    20, -.4000

   19,     1, .6000
   19,     2, .8000
   19,     3, 1.0000
   19,     4, 1.0000
   19,     5, .5000
   19,     6, .4000
   19,     7, .8000
   19,     8, .8000
   19,     9, 1.0000
   19,    10, .5000
   19,    11, .5000
   19,    12, .2000
   19,    13, .2000
   19,    14, .5000
   19,    15, .8000
   19,    16, .7000
   19,    17, .2000
   19,    18, -.1000
   19,    19, .1000
   19,    20, -.3000

   20,     1, .6000
   20,     2, .9000
   20,     3, 1.0000
   20,     4, .9000
   20,     5, .7000
   20,     6, .4000
   20,     7, .8000
   20,     8, .6000
   20,     9, .8000
   20,    10, .6000
   20,    11, .2000
   20,    12, .2000
   20,    13, .4000
   20,    14, .3000
   20,    15, .6000
   20,    16, .8000
   20,    17, .3000
   20,    18, .1000
   20,    19, -.1000
   20,    20, -.1000

   21,     1, .8000
   21,     2, .9000
   21,     3, .9000
   21,     4, 1.0000
   21,     5, .7000
   21,     6, .6000
   21,     7, .5000
   21,     8, .8000
   21,     9, .8000
   21,    10, .5000
   21,    11, .3000
   21,    12, .1000
   21,    13, .5000
   21,    14, .5000
   21,    15, .5000
   21,    16, .5000
   21,    17, .4000
   21,    18, .6000
   21,    19, .1000
   21,    20, -.4000

   22,     1, 1.0000
   22,     2, .9000
   22,     3, .9000
   22,     4, .9000
   22,     5, .8000
   22,     6, .6000
   22,     7, .8000
   22,     8, .5000
   22,     9, .8000
   22,    10, .6000
   22,    11, .5000
   22,    12, .5000
   22,    13, .3000
   22,    14, .4000
   22,    15, .4000
   22,    16, .5000
   22,    17, .6000
   22,    18, .4000
   22,    19, -.4000
   22,    20, -.6000

   23,     1, .8000
   23,     2, .9000
   23,     3, 1.0000
   23,     4, .8000
   23,     5, 1.0000
   23,     6, .4000
   23,     7, .6000
   23,     8, .4000
   23,     9, .8000
   23,    10, .7000
   23,    11, .9000
   23,    12, .6000
   23,    13, .3000
   23,    14, .4000
   23,    15, .4000
   23,    16, .6000
   23,    17, .5000
   23,    18, .7000
   23,    19, .2000
   23,    20, -.1000

   24,     1, .9000
   24,     2, .8000
   24,     3, 1.0000
   24,     4, 1.0000
   24,     5, .8000
   24,     6, .2000
   24,     7, .4000
   24,     8, .6000
   24,     9, .9000
   24,    10, .9000
   24,    11, .6000
   24,    12, .5000
   24,    13, .3000
   24,    14, .2000
