# i_sweep, z, m_z
    1,     1, .9000
    1,     2, 1.0000
    1,     3, 1.0000
    1,     4, 1.0000
    1,     5, .9000
    1,     6, 1.0000
    1,     7, 1.0000
    1,     8, .7000
    1,     9, .8000
    1,    10, .9000
    1,    11, 1.0000
    1,    12, .9000
    1,    13, .8000
    1,    14, 1.0000
    1,    15, .9000
    1,    16, .9000
    1,    17, 1.0000
    1,    18, .8000
    1,    19, .9000
    1,    20, .7000

    2,     1, .9000
    2,     2, .7000
    2,     3, .9000
    2,     4, 1.0000
    2,     5, 1.0000
    2,     6, .7000
    2,     7, .9000
    2,     8, .5000
    2,     9, .8000
    2,    10, .9000
    2,    11, .8000
    2,    12, .8000
    2,    13, .9000
    2,    14, 1.0000
    2,    15, .9000
    2,    16, 1.0000
    2,    17, 1.0000
    2,    18, .9000
    2,    19, .9000
    2,    20, .3000

    3,     1, .9000
    3,     2, .7000
    3,     3, .7000
    3,     4, 1.0000
    3,     5, .8000
    3,     6, .9000
    3,     7, .9000
    3,     8, 1.0000
    3,     9, .7000
    3,    10, .7000
    3,    11, .8000
    3,    12, .9000
    3,    13, .8000
    3,    14, .8000
    3,    15, .8000
    3,    16, 1.0000
    3,    17, .9000
    3,    18, .8000
    3,    19, .8000
    3,    20, .3000

    4,     1, .9000
    4,     2, .3000
    4,     3, .8000
    4,     4, 1.0000
    4,     5, 1.0000
    4,     6, 1.0000
    4,     7, 1.0000
    4,     8, 1.0000
    4,     9, .8000
    4,    10, .8000
    4,    11, .9000
    4,    12, .9000
    4,    13, .9000
    4,    14, .7000
    4,    15, .8000
    4,    16, .6000
    4,    17, .7000
    4,    18, .9000
    4,    19, .8000
    4,    20, .2000

    5,     1, .9000
    5,     2, .8000
    5,     3, 1.0000
    5,     4, .9000
    5,     5, .8000
    5,     6, .6000
    5,     7, 1.0000
    5,     8, 1.0000
    5,     9, .9000
    5,    10, .9000
    5,    11, .9000
    5,    12, .9000
    5,    13, .9000
    5,    14, .8000
    5,    15, .6000
    5,    16, .3000
    5,    17, .9000
    5,    18, .6000
    5,    19, .8000
    5,    20, .6000

    6,     1, 1.0000
    6,     2, 1.0000
    6,     3, 1.0000
    6,     4, .8000
    6,     5, .9000
    6,     6, .8000
    6,     7, 1.0000
    6,     8, .9000
    6,     9, 1.0000
    6,    10, .6000
    6,    11, .7000
    6,    12, .8000
    6,    13, 1.0000
    6,    14, 1.0000
    6,    15, .8000
    6,    16, .7000
    6,    17, .5000
    6,    18, .7000
    6,    19, .7000
    6,    20, .5000

    7,     1, .9000
    7,     2, 1.0000
    7,     3, .9000
    7,     4, .6000
    7,     5, .5000
    7,     6, .7000
    7,     7, .9000
    7,     8, .9000
    7,     9, 1.0000
    7,    10, .8000
    7,    11, .8000
    7,    12, 1.0000
    7,    13, .9000
    7,    14, 1.0000
    7,    15, .7000
    7,    16, .8000
    7,    17, .2000
    7,    18, .5000
    7,    19, .5000
    7,    20, .3000

    8,     1, .9000
    8,     2, 1.0000
    8,     3, 1.0000
    8,     4, .3000
    8,     5, .5000
    8,     6, .9000
    8,     7, 1.0000
    8,     8, 1.0000
    8,     9, 1.0000
    8,    10, .9000
    8,    11, .7000
    8,    12, .6000
    8,    13, .7000
    8,    14, 1.0000
    8,    15, .7000
    8,    16, .7000
    8,    17, .4000
    8,    18, .7000
    8,    19, .5000
    8,    20, .3000

    9,     1, .9000
    9,     2, .9000
    9,     3, 1.0000
    9,     4, .4000
    9,     5, .7000
    9,     6, .9000
