# i_sweep, z, m_z
    1,     1, .9000
    1,     2, 1.0000
    1,     3, .7000
    1,     4, .9000
    1,     5, 1.0000
    1,     6, 1.0000
    1,     7, .9000
    1,     8, 1.0000
    1,     9, .9000
    1,    10, .7000
    1,    11, 1.0000
    1,    12, 1.0000
    1,    13, 1.0000
    1,    14, 1.0000
    1,    15, 1.0000
    1,    16, 1.0000
    1,    17, .9000
    1,    18, .9000
    1,    19, .9000
    1,    20, .8000

    2,     1, .9000
    2,     2, .7000
    2,     3, .6000
    2,     4, .8000
    2,     5, .9000
    2,     6, 1.0000
    2,     7, .8000
    2,     8, .7000
    2,     9, .8000
    2,    10, 1.0000
    2,    11, .9000
    2,    12, 1.0000
    2,    13, .9000
    2,    14, 1.0000
    2,    15, 1.0000
    2,    16, .9000
    2,    17, 1.0000
    2,    18, .9000
    2,    19, 1.0000
    2,    20, .8000

    3,     1, .8000
    3,     2, .7000
    3,     3, 1.0000
    3,     4, .9000
    3,     5, .9000
    3,     6, 1.0000
    3,     7, 1.0000
    3,     8, .7000
    3,     9, .9000
    3,    10, .8000
    3,    11, .8000
    3,    12, 1.0000
    3,    13, .9000
    3,    14, .7000
    3,    15, .7000
    3,    16, .8000
    3,    17, 1.0000
    3,    18, .9000
    3,    19, 1.0000
    3,    20, .4000

    4,     1, .9000
    4,     2, .6000
    4,     3, .7000
    4,     4, .6000
    4,     5, .9000
    4,     6, 1.0000
    4,     7, 1.0000
    4,     8, .9000
    4,     9, .8000
    4,    10, .6000
    4,    11, .8000
    4,    12, .9000
    4,    13, .9000
    4,    14, 1.0000
    4,    15, .8000
    4,    16, .8000
    4,    17, 1.0000
    4,    18, .8000
    4,    19, .9000
    4,    20, .5000

    5,     1, .9000
    5,     2, .7000
    5,     3, 1.0000
    5,     4, .7000
    5,     5, .8000
    5,     6, 1.0000
    5,     7, .9000
    5,     8, 1.0000
    5,     9, .8000
    5,    10, .6000
    5,    11, .5000
    5,    12, .7000
    5,    13, .9000
    5,    14, 1.0000
    5,    15, .8000
    5,    16, .9000
    5,    17, .9000
    5,    18, .8000
    5,    19, .7000
    5,    20, .3000

    6,     1, .9000
    6,     2, .9000
    6,     3, .9000
    6,     4, .5000
    6,     5, .5000
    6,     6, .9000
    6,     7, .9000
    6,     8, .9000
    6,     9, 1.0000
    6,    10, .7000
    6,    11, .8000
    6,    12, .7000
    6,    13, .9000
    6,    14, .9000
    6,    15, .9000
    6,    16, .9000
    6,    17, .8000
    6,    18, .7000
    6,    19, .6000
    6,    20, .0000

    7,     1, .9000
    7,     2, .9000
    7,     3, .7000
    7,     4, .5000
    7,     5, .6000
    7,     6, .9000
    7,     7, .9000
    7,     8, .6000
    7,     9, 1.0000
    7,    10, .6000
    7,    11, .7000
    7,    12, .8000
    7,    13, 1.0000
    7,    14, 1.0000
    7,    15, .9000
    7,    16, .7000
    7,    17, .8000
    7,    18, 1.0000
    7,    19, .7000
    7,    20, -.2000

    8,     1, .8000
    8,     2, 1.0000
    8,     3, .7000
    8,     4, .6000
    8,     5, .5000
    8,     6, .7000
    8,     7, .8000
    8,     8, .7000
    8,     9, 1.0000
    8,    10, .9000
    8,    11, .7000
    8,    12, .6000
    8,    13, .6000
    8,    14, 1.0000
    8,    15, 1.0000
    8,    16, .7000
    8,    17, .6000
    8,    18, .8000
    8,    19, .6000
    8,    20, .0000

    9,     1, .9000
    9,     2, .7000
    9,     3, .8000
    9,     4, .7000
    9,     5, .4000
    9,     6, .8000
