# L T A Error of A
14 2.30415 12.9638 0.025
14 2.40385 10.9079 0.0226
14 2.5 7.1428 0.0171
14 2.60417 3.3194 0.0259
14 2.7027 1.3449 0.0221
14 2.80112 0.5177 0.0256
14 2.90698 0.2022 0.0239
14 3.003 0.1122 0.0259
14 3.10559 0.0739 0.0256
14 3.20513 0.0216 0.0273
14 3.30033 -0.0091 0.0339
14 3.40136 -0.0202 0.024
14 3.50877 -0.0057 0.0291
14 3.61011 -0.0101 0.0221
14 3.7037 -0.0196 0.0271
14 3.80228 -0.0084 0.0314
14 3.90625 -0.0271 0.0408
14 4 0.0055 0.0258
14 4.11523 -0.0166 0.0327
14 4.20168 -0.0169 0.0309
14 4.31034 0.0006 0.023
14 4.40529 0.0195 0.0288
14 4.5045 -0.0258 0.0298
14 4.60829 -0.0109 0.0312
14 4.71698 -0.0237 0.0305
14 4.80769 0.011 0.0323
14 4.90196 -0.0012 0.033
14 5 0.0094 0.0291
16 0.1 0 0
16 0.2 0 0
16 0.30003 0.0001 0
16 0.4 0.0159 0.0004
16 0.5 0.0886 0.0025
16 0.60024 0.1863 0.0136
16 0.70028 0.2249 0.0337
16 0.8 0.2528 0.0509
16 0.90009 0.2504 0.0457
16 1 0.3129 0.0414
16 1.10011 0.4079 0.0362
16 1.20048 0.5229 0.0276
16 1.30039 0.6944 0.023
16 1.40056 0.9216 0.0176
16 1.5015 1.2292 0.0138
16 1.6 1.6237 0.0079
16 1.70068 2.1426 0.0119
16 1.8018 2.8845 0.013
16 1.90114 3.7955 0.0185
16 2 5.059 0.0118
16 2.10084 6.9195 0.0169
16 2.20264 9.7853 0.0289
16 2.30415 13.3226 0.0287
16 2.40385 11.6201 0.02
16 2.5 7.0227 0.0245
16 2.60417 2.6994 0.0236
16 2.7027 0.9127 0.0301
16 2.80112 0.3135 0.0325
16 2.90698 0.1073 0.0175
16 3.003 0.0513 0.0367
16 3.10559 0.0135 0.0263
16 3.20513 0.0062 0.0306
16 3.30033 0.0341 0.0231
16 3.40136 -0.0162 0.0232
16 3.50877 0.0137 0.0347
16 3.61011 -0.0397 0.022
16 3.7037 -0.0236 0.027
16 3.80228 -0.0343 0.0323
16 3.90625 0.0199 0.0269
16 4 -0.0045 0.0311
16 4.11523 0.0411 0.0339
16 4.20168 0.0219 0.0333
16 4.31034 0.0612 0.0337
16 4.40529 -0.0169 0.0341
16 4.5045 -0.0101 0.0506
16 4.60829 -0.006 0.0311
16 4.71698 -0.0232 0.0259
16 4.80769 0.0493 0.0454
16 4.90196 -0.0115 0.0364
16 5 -0.0121 0.0366
